LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,P stuck,P diffusive,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID36460,36460,4,6471.0,382.5715114031697,430.9597861100373,0.0,44.0,44,45.372559867101025,1,,5.984222737819025,6.0,0.0,6.0,38688.0,0.30729343844419504,,,0.99742266958282,19.448840684215426,-0.10120216496032476,0.4237310090164116,52.10978764862362,40.02508412986001,-0.72250922464064,1.3019282477846943,6467.500000000001,312.1627494668455,0.8340347520254158,0.9531353621693317,3.8816185848161378
ID36206,36206,4,3406.0,375.2198025125874,366.1533216014078,0.0,3.0,3,32.943551067600986,1,,4.975073313782991,5.0,0.0,5.0,16965.0,0.35220515221887383,,,0.9964643748177431,14.100482942423113,-0.005484912837759264,0.6350293738111034,40.3282726319723,28.092345473237007,-0.7623222864897952,1.4355608957746944,3409.4999999999995,235.7985742087608,0.7705808452606352,0.9414607206958442,4.0382744140424975
ID36719,36719,4,4436.0,319.73463897354856,365.0841893366445,0.0,78.0,78,37.54934940649572,1,,5.981029810298103,6.0,0.0,6.0,26484.0,0.33687816713936036,,,0.9962292672287659,17.72074494488371,0.1775963735646706,0.10843029106217679,43.62076415097665,32.872778731070056,-0.7077639194989049,1.3269570092578762,4429.5,259.7087434550561,0.8252612018754538,0.9553542542866387,3.9021972452143623
ID36209,36209,4,2643.0,357.22459926795403,367.0014514704026,0.0,5.0,5,28.994075419150565,1,,4.969708443771299,5.0,0.0,5.0,13125.0,0.38806858358903973,,,0.9956950928737904,12.778638911335285,0.19260842094802513,-0.8122539767851749,43.60786219095724,19.559162931458523,2.0138099176300366,2.2295362201221467,2640.9999999999995,222.78739803886376,0.6686471880330414,0.9294386767552347,4.33517287591153
ID36979,36979,4,6392.0,277.383144309738,415.01964541780734,0.0,113.0,113,45.10871254458368,1,,5.981238273921201,6.0,0.0,6.0,38256.0,0.3350162711488138,,,0.9975951575154826,17.832082087517882,-1.0148471644482275,-0.12601188219025436,69.07178450044321,31.26139162995444,2.9108401752813737,2.209491673245254,6392.499999999997,336.12207597177144,0.7110277101072252,0.9536063250540759,4.203989947092631
ID36724,36724,4,5596.0,320.5421726190476,381.2269345238096,0.0,77.0,77,42.22008245644752,1,,4.973238180196254,5.0,0.0,5.0,27875.0,0.3648515501481411,,,0.9970113759667707,13.610454681918771,0.0792866134779989,-0.20388945776015957,53.88275678711011,33.68658264497409,-1.37800439443445,1.5995316994598505,5600.0,294.1964591927907,0.8130607721401799,0.9648518263266712,3.9313655525051563
ID36980,36980,4,6534.0,276.4406312241459,398.19884071293603,0.0,110.0,110,45.580792304671505,1,,5.979779411764706,6.0,0.0,6.0,39036.0,0.34775448599102843,,,0.9977495861799621,17.17603534619357,-1.8748107536697614,0.1986919296463034,62.91525304044756,34.66526514436692,2.8858963043729817,1.8149364436830577,6526.999999999999,328.8294912862115,0.7585460575886632,0.9512497267361362,4.070183170729447
ID36725,36725,4,5320.0,323.3209006639108,387.4077414505825,0.0,76.0,76,41.158780524575,1,,5.9752112676056335,6.0,0.0,6.0,31818.0,0.38489704325645846,,,0.997613368870843,15.505633365292127,-0.08069531303356803,0.5659693199605711,54.982590661277015,31.748414469462965,1.5599009332432823,1.7318216225935223,5322.000000000001,296.6474895357317,0.759982128278194,0.9457130164371389,4.066335820657312
ID36216,36216,4,2764.0,349.7372258375512,386.0279585442275,0.0,7.0,7,29.67229592034235,1,,4.989157932779183,5.0,0.0,5.0,13805.0,0.23262059668938764,,,0.9956610868547947,21.400988173131854,-0.523989595078589,-0.2897996124997342,35.975494322595175,25.02477551847152,-0.7146820229598817,1.4375950863591407,2766.0000000000005,207.8553467996217,0.8045251751063002,0.9579220779220781,3.9521654092380736
ID36984,36984,4,6115.0,270.26547044878606,404.7051554538271,0.0,111.0,111,44.124170460680105,1,,5.985279685966634,6.0,0.0,6.0,36594.0,0.2968494724840352,,,0.9979263276514235,20.14174874697651,-1.032994304552064,0.03004570092138985,60.574086283076646,32.96490995630413,-0.08825722859808542,1.8375322839761798,6116.499999999997,320.43047453711785,0.7485920630509035,0.9510223120578397,4.097154328288305
