LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID11752,11752,94,106.0,179.89743589743588,119.28525641025641,0.0,238.0,238,5.753627391751592,1,,206.73333333333332,236.0,50.0,255.0,21707.0,54.295712160117766,0.6358323696541581,2.959912037924233,0.115360979547986,0.20981608932797785,8.979672877242802,3.830648546036046,0.6787396893180617,2.3441651640255445,104.0,52.558590197708284,0.4731030942106016,0.7938931297709924,5.153793788943097
ID11814,11814,94,96.0,179.7677029360967,119.21848013816927,0.0,239.0,239,5.542283285500282,1,,205.45833333333334,235.0,69.0,255.0,19724.0,53.600651344563055,0.6730649456922123,3.084095813376077,0.09234590898580071,0.09349483544962814,9.48931462312124,3.642452476369428,0.5850195071661389,2.6051992948936435,96.5,56.70837260035158,0.3770880840353073,0.8177966101694916,5.772760335937131
ID11998,11998,94,109.0,178.95248868778282,118.56787330316742,0.0,240.0,240,5.9307033666597135,1,,198.04504504504504,221.0,54.0,255.0,21983.0,57.607352338109045,0.6572431921131814,2.726816505459671,-0.023116232990091617,-0.42573976857005164,9.144264275900504,4.405904598871866,0.9036708650394796,2.075456712848911,110.49999999999999,53.57714282041721,0.4837411610731349,0.7949640287769784,5.096809607012035
ID12035,12035,94,100.0,178.42775041050905,117.77914614121511,0.0,241.0,241,5.684052554969452,1,,204.13861386138615,233.0,79.0,255.0,20618.0,52.75377326845358,0.6452295028487877,3.035214281326091,0.47182391230664816,0.3041526059253109,9.505630113706621,3.691862573542548,0.682981856353336,2.574751883189801,101.5,51.56804534069862,0.4796390854687397,0.8319672131147541,5.118558237063473
ID11792,11792,94,117.0,179.00071530758225,118.37696709585121,0.0,242.0,242,6.089589620032831,1,,197.7913043478261,231.0,38.0,255.0,22746.0,61.37424679241597,0.6597154654946074,2.5619699953020167,0.3023236425300882,-0.032629884502083616,9.335407926183745,4.3807310197830445,0.5675194091593163,2.13101600715172,116.49999999999999,52.98157077232651,0.5215382069609316,0.8503649635036495,4.908647743915412
ID12109,12109,94,3.0,185.2777777777778,124.3888888888889,0.0,243.0,243,0.9772050238058398,1,,123.0,128.0,106.0,135.0,369.0,15.132745950421556,0.26448598130841117,3.4002120714325526,0.7222222222221986,-2.8888888888888946,4.618205515714206,1.0826716097814757,-1.3112232696716353,4.265564437074632,3.0,7.23606797749979,0.7199889689185959,1.0,4.1777457946839345
ID12127,12127,94,3.0,183.2777777777778,134.38888888888889,0.0,244.0,244,0.9772050238058398,1,,119.33333333333333,119.0,112.0,127.0,358.0,7.505553499465135,0.5592951890714709,11.405695877347501,0.7222222222221985,-2.8888888888888795,4.618205515714207,1.0826716097814757,-1.311223269671635,4.265564437074633,3.0,7.23606797749979,0.7199889689185959,1.0,4.1777457946839345
ID11884,11884,94,4.0,191.5,111.0,0.0,247.0,247,1.1283791670955126,1,,116.75,120.0,110.0,123.0,467.0,5.852349955359813,0.18980891719745224,6.364964549989868,2.896233977283016E-16,-2.4376635975465384E-16,2.065917563760425,1.0343340556062017,0.6531539721228321,1.9973407552066276,4.0,8.47213595499958,0.7002998325809342,1.0,4.23606797749979
ID12182,12182,94,1.0,191.16666666666666,109.83333333333333,0.0,248.0,248,0.5641895835477563,1,,121.0,121.0,121.0,121.0,121.0,NaN,0.2389078498293516,NaN,0.6093742383786946,-0.570229200769534,1.8500048694887372,0.713019489902995,2.2506380259973824,2.5946063125713814,1.0,5.23606797749979,0.45835219100318675,1.0,5.23606797749979
ID12271,12271,94,8.0,184.5,122.75,0.0,249.0,249,1.5957691216057308,1,,128.125,124.0,107.0,176.0,1025.0,23.135856524945368,0.21565526783949393,1.9648433281179623,0.06421351990524259,0.1774943198252918,2.7535946877208612,1.2853643756784152,0.3354422909627598,2.1422677801129457,8.0,12.47213595499958,0.646276223276684,0.8888888888888888,4.40956595483038
